,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_team_cover_spread,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,neutral_site_False,neutral_site_True,week
63,0.711213518,0.495952907,0.372093023,0.363636364,0.142081355,0.619827917,0.429078014,0.516281254,0.091696247,0.620229885,0.457142857,0.113512071,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
64,0.629800307,0.569536424,0.401162791,0.181818182,0.305764465,0.373208693,0.359477124,0.435983396,0.143795505,0.489903697,0.75,0.243269267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
65,0.585253456,0.332597498,0.406976744,0.151515152,0.373545897,0.498385907,0.200129955,0.548566579,0.180764284,0.630262371,0.126317807,0.47149789,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
66,0.655913978,0.526857984,0.406976744,0.454545455,0.292301745,0.436471394,0.406641604,0.470306125,0.420007316,0.540282013,0.258136925,0.433843208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
67,0.395545315,0.406916851,0.662790698,0.272727273,0.780536033,0.516833023,0.427777778,0.872336218,0.476255858,0.346855984,0.181818182,0.253952745,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
68,0.248079877,0.485651214,0.936046512,0.181818182,0.374296441,0.588718582,0.418408827,0.625025537,0.434712619,0.473642666,0.268774704,0.237576816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
69,0.598310292,0.649006623,0.680232558,0.545454545,0.320149969,0.585705509,0.413978495,0.572506751,0.532802181,0.335576114,0.666666667,0.317785113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
70,0.556835637,0.163355408,0.209302326,0.545454545,0.256092836,0.318187524,0.47826087,0.301515363,0.227140352,0.72884642,0.285714286,0.541299179,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
71,0.497695853,0.546725533,0.563953488,0.636363636,0.269731654,0.379377432,0.252873563,0.408135326,0.354092692,0.509578544,0.390243902,0.367959867,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
72,0.530721966,0.479764533,0.563953488,0.636363636,0.513244861,0.11830049,0.398550725,0.244749781,0.165290185,0.469871125,0.238095238,0.338179345,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
